transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('replace', ('neutral',), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'exclude', 'neutral'), ('neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neg', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'neg', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'pos', 'neutral', 'neutral', 'neutral', 'pos', 'neg'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neg', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neg', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'pos', 'pos', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'pos', 'pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('exclude', 'exclude', 'neutral', 'pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'pos', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neg', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'neg', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neg', 'neg'), ('neg', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral'), ('neutral', 'neutral'))",14,1.0,0.07142857142857142,0,14,40.925700365408034
"('replace', ('neutral', 'neutral'), ('neutral', 'neutral', 'neutral', 'neutral'))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('neg',), ('neg',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('neg', 'neg'), ('neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('neg',), ('pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral',), ('neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'exclude', 'pos'), ('pos', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral',), ('neg', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neg', 'exclude', 'neg'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neg', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neg', 'exclude', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",5,1.0,0.2,0,5,63.39622641509435
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neg', 'exclude', 'neg'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neg', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",2,1.0,0.5,1,1,91.22171945701358
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral'))",2,1.0,0.5,1,1,91.22171945701358
"('insert', (), ('neutral', 'exclude', 'neutral', 'neg', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('exclude', 'exclude'))",4,1.0,0.25,1,3,83.86023294509151
"('replace', ('pos',), ('exclude', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",6,1.0,0.16666666666666666,1,5,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'pos', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'pos', 'exclude', 'neutral'))",6,1.0,0.16666666666666666,0,6,59.75103734439834
"('insert', (), ('neutral', 'exclude', 'exclude', 'neg', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
